address,city,state,zip_code,county,parcel_number,property_type,bedrooms,bathrooms,sqft,year_built,list_price,assessed_value,market_value,price_to_assessed_ratio,annual_tax_amount,tax_delinquent,tax_delinquent_amount,notice_of_default,nod_date,lis_pendens,trustee_sale_scheduled,recorder_document_count,has_liens,lien_amount,in_foreclosure,is_bank_owned,is_vacant,code_violations,days_on_market,distress_score
432 Sellers PL,,NV,89011,Clark,178-12-510-143,TWH,1,1.0,838,1982,165000.0,,,,,,,,,,,,,,,,,,62,3
2582 Lazy Saddle DR,,NV,89002,Clark,179-34-712-030,TWH,2,3.0,1170,2003,290000.0,,,,,,,,,,,,,,,,,,4,0
492 Waterfall Cove CT,,NV,89002,Clark,179-29-517-051,TWH,3,3.0,1407,2023,300000.0,,,,,,,,,,,,,,,,,,58,0
965 Nevada State DR #40102,,NV,89002,Clark,179-34-214-214,TWH,3,3.0,1527,2021,308000.0,,,,,,,,,,,,,,,,,,48,0
483 Waterfall Cove CT,,NV,89002,Clark,179-29-517-054,TWH,3,3.0,1311,2023,310000.0,,,,,,,,,,,,,,,,,,13,0
1105 Pleasure LN #102,,NV,89002,Clark,179-34-713-098,TWH,3,3.0,1413,2006,315000.0,,,,,,,,,,,,,,,,,,19,0
1284 Arcadia Rim PL,,NV,89002,Clark,179-34-814-126,TWH,3,2.0,1256,2020,319999.0,,,,,,,,,,,,,,,,,,47,0
1571 Rusty Ridge LN,,NV,89002,Clark,179-34-614-125,TWH,3,3.0,1423,2004,325000.0,,,,,,,,,,,,,,,,,,7,0
554 Foothill Cove LN,,NV,89002,Clark,179-29-517-022,TWH,3,3.0,1311,2023,325000.0,,,,,,,,,,,,,,,,,,12,0
1150 Paradise Desert AVE,,NV,89002,Clark,179-34-711-089,SFR,3,3.0,1337,2006,339999.0,,,,,,,,,,,,,,,,,,13,0
1069 Slate Crossing LN #2,,NV,89002,Clark,179-34-713-038,TWH,3,3.0,1413,2005,343000.0,,,,,,,,,,,,,,,,,,28,0
2502 Crafty Clint LN,,NV,89002,Clark,179-34-614-054,TWH,3,3.0,1670,2003,345000.0,,,,,,,,,,,,,,,,,,25,0
965 Nevada State DR #30102,,NV,89002,Clark,179-34-214-168,TWH,3,3.0,1542,2020,349000.0,,,,,,,,,,,,,,,,,,14,0
419 Scenic DR,,NV,89002,Clark,179-29-110-017,SFR,3,2.0,1198,1970,349999.0,,,,,,,,,,,,,,,,,,7,0
1172 Gecko RD,,NV,89002,Clark,179-34-812-033,SFR,3,3.0,1337,2006,364000.0,,,,,,,,,,,,,,,,,,49,0
1531 Emilia Crossing PL,,NV,89002,Clark,179-34-317-232,TWH,3,3.0,1784,2024,369000.0,,,,,,,,,,,,,,,,,,48,0
1518 Maya Crossing AVE,,NV,89002,Clark,179-34-317-163,TWH,2,3.0,1888,2025,379752.0,,,,,,,,,,,,,,,,,,21,0
1048 Gabriela Ridge LN,,NV,89002,Clark,179-34-317-044,TWH,2,3.0,1657,2024,385000.0,,,,,,,,,,,,,,,,,,27,0
639 Moonlight Stroll ST,,NV,89002,Clark,179-31-310-034,SFR,3,3.0,1577,2004,395900.0,,,,,,,,,,,,,,,,,,41,0
613 Overland DR,,NV,89002,Clark,179-29-112-007,SFR,4,2.0,1528,1975,399000.0,,,,,,,,,,,,,,,,,,40,0
604 Barron CT,,NV,89002,Clark,179-30-511-003,SFR,4,3.0,1404,1974,405000.0,,,,,,,,,,,,,,,,,,29,0
532 Summit DR,,NV,89002,Clark,179-29-116-026,SFR,4,2.0,1522,1978,410000.0,,,,,,,,,,,,,,,,,,24,0
147 Afternoon Rain AVE,,NV,89002,Clark,179-31-714-083,SFR,3,3.0,1483,2006,410000.0,,,,,,,,,,,,,,,,,,50,0
681 Lucky Pine ST,,NV,89002,Clark,179-31-710-057,SFR,3,3.0,1493,2005,412000.0,,,,,,,,,,,,,,,,,,25,0
170 Cloud Cover AVE,,NV,89002,Clark,179-31-710-011,SFR,3,3.0,2052,2004,420000.0,,,,,,,,,,,,,,,,,,10,0
785 Grape Vine AVE,,NV,89002,Clark,179-29-611-050,SFR,3,3.0,1890,1988,440000.0,,,,,,,,,,,,,,,,,,12,0
836 Cherry DR,,NV,89002,Clark,179-29-712-012,SFR,3,2.0,1615,1984,440000.0,,,,,,,,,,,,,,,,,,42,0
902 Big Horn ST,,NV,89002,Clark,179-28-414-016,SFR,3,2.0,1633,1995,443900.0,,,,,,,,,,,,,,,,,,4,0
2289 Sky Island DR,,NV,89002,Clark,179-27-413-058,SFR,4,3.0,1937,2018,445000.0,,,,,,,,,,,,,,,,,,14,0
2276 Sky Island DR,,NV,89002,Clark,179-27-413-115,SFR,4,3.0,1937,2017,460000.0,,,,,,,,,,,,,,,,,,33,0
1911 Red Sand CT,,NV,89002,Clark,179-27-114-032,SFR,4,2.0,1705,1980,472000.0,,,,,,,,,,,,,,,,,,39,0
189 Ruby Ridge AVE,,NV,89002,Clark,179-31-611-015,SFR,3,2.0,1952,2000,475000.0,,,,,,,,,,,,,,,,,,41,0
1000 Amber Gate ST,,NV,89002,Clark,179-31-111-057,SFR,3,2.0,1703,2002,479900.0,,,,,,,,,,,,,,,,,,5,0
532 Big Lake ST,,NV,89002,Clark,179-28-213-058,SFR,5,3.0,2260,2005,485000.0,,,,,,,,,,,,,,,,,,34,0
94 John Stuart Mill ST,,NV,89002,Clark,178-25-710-104,SFR,3,2.0,1673,2001,485000.0,,,,,,,,,,,,,,,,,,7,0
683 Truk Lagoon DR,,NV,89002,Clark,179-30-111-002,SFR,4,2.0,1656,1996,489900.0,,,,,,,,,,,,,,,,,,13,0
818 Grape Vine AVE,,NV,89002,Clark,179-28-210-010,SFR,4,3.0,1909,1995,490000.0,,,,,,,,,,,,,,,,,,21,0
100 West Spruce ST,,NV,89003,Clark,18-581-12,MAN,0,1.0,800,1997,150000.0,,,,,,,,,,,,,,,,,,21,0
210 East Cedar ST,,NV,89003,Clark,18-251-05,SFR,3,2.0,1364,1953,300000.0,,,,,,,,,,,,,,,,,,53,0
1294 Black Mountain CT,,NV,89005,Clark,186-08-412-039,MAN,2,2.0,1248,1977,230000.0,,,,,,,,,,,,,,,,,,12,0
1402 Coronado DR,,NV,89005,Clark,186-08-810-023,MAN,3,2.0,1536,1980,240000.0,,,,,,,,,,,,,,,,,,8,0
709 Utah ST,,NV,89005,Clark,186-09-510-211,SFR,1,2.0,940,1934,249900.0,,,,,,,,,,,,,,,,,,38,0
1302 Georgia AVE #B,,NV,89005,Clark,186-09-713-014,TWH,2,2.0,1196,1978,285000.0,,,,,,,,,,,,,,,,,,13,0
1297 Shenandoah ST,,NV,89005,Clark,186-08-413-008,MAN,2,2.0,1400,1977,299900.0,,,,,,,,,,,,,,,,,,55,0
504 Tara CT,,NV,89005,Clark,181-33-612-048,TWH,2,2.0,1049,1973,310000.0,,,,,,,,,,,,,,,,,,4,0
687 Marina DR #32,,NV,89005,Clark,181-33-414-003,TWH,2,3.0,1289,1985,317888.0,,,,,,,,,,,,,,,,,,46,0
1304 Capri DR #A,,NV,89005,Clark,186-09-317-011,TWH,2,2.0,1196,1979,325000.0,,,,,,,,,,,,,,,,,,17,0
1310 Capri DR #C,,NV,89005,Clark,186-09-417-008,TWH,2,2.0,1196,1979,330000.0,,,,,,,,,,,,,,,,,,12,0
491 Marina CV,,NV,89005,Clark,181-33-413-012,TWH,3,4.0,1991,1996,350000.0,,,,,,,,,,,,,,,,,,3,0
585 Lake Superior LN,,NV,89005,Clark,186-05-511-023,MAN,2,2.0,1415,1992,369000.0,,,,,,,,,,,,,,,,,,54,0
1313 Coronado DR,,NV,89005,Clark,186-08-810-069,MAN,3,2.0,1620,2005,385000.0,,,,,,,,,,,,,,,,,,9,0
529 Elm ST,,NV,89005,Clark,186-08-511-010,SFR,2,1.0,1126,1946,398000.0,,,,,,,,,,,,,,,,,,35,0
545 Date ST,,NV,89005,Clark,186-09-110-037,SFR,3,1.0,948,1942,399000.0,,,,,,,,,,,,,,,,,,15,0
1586 Tilman LN,,NV,89005,Clark,186-08-314-050,TWH,3,0.0,1326,2018,415000.0,,,,,,,,,,,,,,,,,,28,0
529 I,,NV,89005,Clark,186-09-510-031,SFR,4,3.0,1565,1936,435000.0,,,,,,,,,,,,,,,,,,58,0
204 Donner WAY,,NV,89005,Clark,186-05-710-062,SFR,3,2.0,1474,1990,435500.0,,,,,,,,,,,,,,,,,,0,0
623 California AVE,,NV,89005,Clark,186-09-110-214,SFR,4,3.0,1845,1936,498800.0,,,,,,,,,,,,,,,,,,36,0
370 Main ST,,NV,89008,Clark,003-084-10,SFR,2,2.0,920,1929,188800.0,,,,,,,,,,,,,,,,,,5,0
561 Main ST,,NV,89008,Clark,003-098-02,SFR,4,2.0,1610,1932,267900.0,,,,,,,,,,,,,,,,,,40,0
1360 Wild Horse Run,,NV,89010,Clark,,SFR,1,3.0,960,2010,325000.0,,,,,,,,,,,,,,,,,,50,0
