#	MLS	Zip Code	Stat	Address	Current Price	BldgDes	Sub	Approx Liv Area	Beds Total	Baths Total	Garage	Pv Pool	Spa	Year Built	Actual Close Date	DOM	Parcel Number
1	2759137	89002	A-ER	681 Lucky Pine ST	$412,000.00	2STORY	SFR	1,493	3	3	2	N	N	2005		25	179-31-710-057
1	2739321	89002	A-ER	415 Chateau DR	$413,000.00	1STORY	SFR	1,162	3	2	2	Y	N	1972		108	179-29-114-028
1	2764755	89002	A-ER	170 Cloud Cover AVE	$420,000.00	2STORY	SFR	2,052	3	3	2	N	N	2004		10	179-31-710-011
1	2763652	89002	A-ER	785 Grape Vine AVE	$440,000.00	2STORY	SFR	1,890	3	3	2	N	N	1988		12	179-29-611-050
1	2755402	89002	A-ER	836 Cherry DR	$440,000.00	1STORY	SFR	1,615	3	2	2	Y	N	1984		42	179-29-712-012
1	2765979	89002	A-ER	902 Big Horn ST	$443,900.00	1STORY	SFR	1,633	3	2	2	N	N	1995		4	179-28-414-016
1	2759962	89002	A-EA	2289 Sky Island DR	$445,000.00	2STORY	SFR	1,937	4	3	2	N	N	2018		14	179-27-413-058
1	2723776	89002	A-ER	533 Calypso DR	$445,950.00	1STORY	SFR	1,292	4	2	2	N	N	1993		174	179-29-312-027
1	2757780	89002	A-ER	2276 Sky Island DR	$460,000.00	2STORY	SFR	1,937	4	3	2	N	N	2017		33	179-27-413-115
1	2756178	89002	A-ER	1911 Red Sand CT	$472,000.00	1STORY	SFR	1,705	4	2	2	Y	N	1980		39	179-27-114-032
1	2755828	89002	A-ER	189 Ruby Ridge AVE	$475,000.00	1STORY	SFR	1,952	3	2	2	N	N	2000		41	179-31-611-015
1	2765527	89002	A-ER	1000 Amber Gate ST	$479,900.00	1STORY	SFR	1,703	3	2	2	N	N	2002		5	179-31-111-057
1	2757584	89002	A-ER	532 Big Lake ST	$485,000.00	2STORY	SFR	2,260	5	3	2	N	N	2005		34	179-28-213-058
1	2752287	89002	A-ER	94 John Stuart Mill ST	$485,000.00	1STORY	SFR	1,673	3	2	2	N	N	2001		7	178-25-710-104
1	2714836	89002	A-ER	815 Crabapple DR	$489,000.00	2STORY	SFR	2,033	5	3	2	N	N	1990		184	179-30-713-011
1	2763404	89002	A-ER	683 Truk Lagoon DR	$489,900.00	1STORY	SFR	1,656	4	2	2	N	N	1996		13	179-30-111-002
1	2760517	89002	A-ER	818 Grape Vine AVE	$490,000.00	2STORY	SFR	1,909	4	3	2	N	N	1995		21	179-28-210-010
1	2761040	89003	A-ER	100 West Spruce ST	$150,000.00	1STORY	MAN	800	0	1	0	N	N	1997		21	18-581-12
1	2734149	89003	A-ER	400 West Hoyt ST	$165,000.00	1STORY	MAN	1,488	3	2	2	N	N	1987		133	18-305-18
1	2724617	89003	A-ER	201 South 4th ST	$225,000.00	1STORY	SFR	1,056	2	2	0	N	N	1920		157	18-316-07
1	2738752	89003	A-ER	251 A AVE	$244,000.00	1STORY	MAN	1,512	3	2	0	N	N	2007		112	18-221-46
1	2752693	89003	A-ER	210 East Cedar ST	$300,000.00	1STORY	SFR	1,364	3	2	4	N	N	1953		53	18-251-05
1	2763283	89005	A-ER	1294 Black Mountain CT	$230,000.00	1STORY	MAN	1,248	2	2	0	N	N	1977		12	186-08-412-039
1	2762377	89005	A-ER	1402 Coronado DR	$240,000.00	1STORY	MAN	1,536	3	2	0	N	N	1980		8	186-08-810-023
1	2756889	89005	A-ER	709 Utah ST	$249,900.00	1STORY	SFR	940	1	2	0	N	N	1934		38	186-09-510-211
1	2687997	89005	A-ER	524 5th ST	$249,900.00	1STORY	SFR	1,256	2	1	0	N	N	1945		137	186-09-610-160
1	2736851	89005	A-ER	1324 Georgia AVE #A	$269,000.00	2STORY	TWH	843	2	2	0	N	N	1983		123	186-09-420-010
1	2724084	89005	A-ER	687 Marina DR #39	$275,000.00	2STORY	TWH	1,344	2	3	0	N	N	1984		171	181-33-414-010
1	2763445	89005	A-ER	1302 Georgia AVE #B	$285,000.00	2STORY	TWH	1,196	2	2	0	N	N	1978		13	186-09-713-014
1	2693666	89005	A-ER	670 Mount Bona WAY	$299,000.00	1STORY	MAN	1,248	2	2	0	N	N	1980		279	181-33-410-021
1	2751734	89005	A-ER	1297 Shenandoah ST	$299,900.00	1STORY,MANUFCT	MAN	1,400	2	2	2	Y	N	1977		55	186-08-413-008
1	2766022	89005	A-ER	504 Tara CT	$310,000.00	2STORY	TWH	1,049	2	2	2	N	N	1973		4	181-33-612-048
1	2754435	89005	A-ER	687 Marina DR #32	$317,888.00	2STORY	TWH	1,289	2	3	0	N	N	1985		46	181-33-414-003
1	2762498	89005	A-ER	1304 Capri DR #A	$325,000.00	2STORY	TWH	1,196	2	2	0	N	N	1979		17	186-09-317-011
1	2763516	89005	A-ER	1310 Capri DR #C	$330,000.00	2STORY	TWH	1,196	2	2	0	N	N	1979		12	186-09-417-008
1	2740051	89005	A-ER	673 Mount Bona WAY	$347,000.00	1STORY	MAN	1,344	2	2	0	N	N	1980		107	181-33-410-047
1	2765945	89005	A-ER	491 Marina CV	$350,000.00	2STORY	TWH	1,991	3	4	2	N	Y	1996		3	181-33-413-012
1	2744516	89005	A-ER	517 5th ST	$350,000.00	1STORY	SFR	1,258	3	1	0	N	N	1942		81	186-09-610-169
1	2737222	89005	A-ER	520 5th ST	$359,000.00	1STORY	SFR	924	2	1	1	N	N	1942		120	186-09-610-159
1	2748854	89005	A-ER	585 Lake Superior LN	$369,000.00	1STORY	MAN	1,415	2	2	0	N	N	1992		54	186-05-511-023
1	2732121	89005	A-ER	233 Big Horn DR	$375,000.00	1STORY	TWH	1,282	2	2	2	N	N	1999		143	186-04-514-014
1	2703194	89005	A-ER	1201 I	$375,000.00	1STORY	SFR	1,050	2	2	0	N	N	1962		232	186-09-711-025
1	2660289	89005	A-ER	227 Big Horn DR	$379,900.00	1STORY	TWH	1,240	2	2	2	N	N	2000		388	186-04-514-017
1	2760680	89005	A-ER	1313 Coronado DR	$385,000.00	1STORY,MANUFCT	MAN	1,620	3	2	0	N	N	2005		9	186-08-810-069
1	2740813	89005	A-ER	616 6th ST	$394,400.00	1STORY	SFR	896	2	1	0	N	N	1946		106	186-09-610-070
1	2754765	89005	A-ER	529 Elm ST	$398,000.00	1STORY	SFR	1,126	2	1	1	N	N	1946		35	186-08-511-010
1	2762620	89005	A-ER	545 Date ST	$399,000.00	1STORY	SFR	948	3	1	0	N	N	1942		15	186-09-110-037
1	2692677	89005	A-ER	531 New Mexico ST	$400,000.00	1STORY	SFR	924	2	1	0	N	N	1942		214	186-09-610-149
